id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
1169,Spiccioli dal cielo,Herbert Ross,Stany Zjednoczone,f,01:48:00,1981,t
1170,Atmosfera zero,Peter Hyams,Wielka Brytania,f,01:49:00,1981,t
1171,Il giorno di San Valentino,George Mihalka,Kanada,f,01:30:00,1981,t
1172,Pieces,Juan Piquer Simón,Hiszpania,f,01:25:00,1982,t
1173,Olsen-banden over alle bjerge!,Erik Balling,Dania,f,01:40:00,1981,t
1174,Olsen-bandens flugt - over plankeværket,Erik Balling,Dania,f,01:40:00,1981,t
1175,Rosemary's Killer,Joseph Zito,Stany Zjednoczone,f,01:29:00,1981,t
1176,Caccia implacabile,"Roger Spottiswoode, Buzz Kulik",Stany Zjednoczone,f,01:40:00,1981,t
1177,Reds,Warren Beatty,Stany Zjednoczone,f,03:15:00,1981,t
1178,Saturday the 14th,Howard R. Cohen,Stany Zjednoczone,f,01:15:00,1981,t
